UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
P01106	P50219	4609	3110	MYC	MNX1	chromatin immunoprecipitation assay;inferred by curator	29126285;12695333;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Ce:Q9U2Z0;Dr:Q6SYZ1	Mm:A2RSX2;Rn:M0R6D8
P10242	O60936	4602	8996	MYB	NOL3	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7	Mm:Q9D1X0	Rn:G3V7Z3
P10276	F2Z2Q0	5914	8209	RARA	GATD3A	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P11416;Rn:A0A0G2JW78	Dr:T2DKU4	-	-
P35638	Q8IXJ6	1649	22933	DDIT3	SIRT2	inferred by curator	21801305;29087512	Homo sapiens	TRRUST	Yes	Dr:F1Q964;Mm:P35639;Rn:Q496Y7	-	Dm:Q9I7I7;Dr:F1QE37;Mm:Q8VDQ8	Rn:A0A0G2JWM2
P37231	Q92934	5468	572	PPARG	BAD	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;14960510	Homo sapiens	GTRD;TRRUST	Yes	-	-	Mm:Q61337;Rn:O35147	-
P23771	P01588	2625	2056	GATA3	EPO	electrophoretic mobility shift assay;inferred by curator	8677751;29087512;22900683	Homo sapiens	HTRI;TRRUST	Yes	Dr:Q91428;Mm:P23772;Rn:Q99NH5	-	Mm:P07321	Dr:A0A0R4IUI4;Dr:F1QKY2;Rn:P29676
O14867	P09601	571	3162	BACH1	HMOX1	chromatin immunoprecipitation assay;inferred by curator	29126285;17942419;18550526;17409198;21982894;18971253;27924024;29087512	Homo sapiens	GTRD;PAZAR;ReMap;TRRUST	Yes	Mm:P97302	Rn:D4ACD2	Dr:B0UXS0;Mm:P14901;Rn:P06762	-
P18848	O14777	468	10403	ATF4	NDC80	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;17822787	Homo sapiens	GTRD;TRRUST	Yes	Dr:Q6NW59;Mm:Q06507;Rn:Q9ES19	-	Ce:Q17635;Dm:Q9VYB1;Dr:Q6DRJ7;Mm:Q9D0F1;Rn:F7F189;Sc:P40460	-
P10242	P09917	4602	240	MYB	ALOX5	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7	Dr:B8A697;Mm:P48999;Rn:F1LMM5	-
Q16650	P78509	10716	5649	TBR1	RELN	inferred by curator	19165920;29087512	Homo sapiens	TRRUST	Yes	Dr:B5DE34;Mm:Q64336;Rn:D4A6N8	-	Mm:Q60841;Rn:F1LZI7	-
Q9UJU2	P15924	51176	1832	LEF1	DSP	chromatin immunoprecipitation assay;inferred by curator	27924024;22761861;15979100	Homo sapiens	GTRD;TFactS_via_DoRothea	Yes	Dr:Q9W7C0;Mm:P27782;Rn:G3V7C1	-	Mm:E9Q557;Rn:F1LMV6	-
Q01196	P07333	861	1436	RUNX1	CSF1R	chromatin immunoprecipitation assay;inferred by curator	29126285;27899662;8585955;9209363;27924024;29087512	Homo sapiens	GTRD;KEGG_via_DoRothEA;ReMap;TRRUST	Yes	-	Mm:Q3UM65;Rn:A0A0G2JYQ4	Mm:P09581	Dr:A0A0R4IML5;Rn:D4ACA7
Q92769	P50591	3066	8743	HDAC2	TNFSF10	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;23630076	Homo sapiens	GTRD;TRRUST	Yes	Rn:F7ENH8	Mm:A0A0R4J008	Dr:Q6DHG9;Mm:P50592;Rn:E9PU84	-
P18146	P19544	1958	7490	EGR1	WT1	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Dm:Q24266;Mm:P08046	Dr:P26632;Rn:A0A0H2UHR3	Rn:D3ZJ55	Dr:Q9PUT7;Mm:F6Y2T6
P01106	O43422	4609	5612	MYC	THAP12	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Dr:F1Q9M3;Mm:Q9CUX1;Rn:A0A0G2K8V6	-
Q04206	P46695	5970	8870	RELA	IER3	chromatin immunoprecipitation assay;inferred by curator	12360408;29126285;27924024;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	Mm:Q91VZ5;Rn:Q6MG18	-
P05412	P57739	3725	9075	JUN	CLDN2	chromatin immunoprecipitation assay;inferred by curator	22546605;29126285;27924024;24234451	Homo sapiens	GTRD;IntAct_via_DoRothEA;ReMap	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Mm:O88552;Rn:D4A386	-
P18846	Q13503	466	9412	ATF1	MED21	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q7T351;Mm:P81269;Rn:F7FD47	-	Dm:Q9W5P1;Dr:Q7ZTI5;Mm:Q9CQ39;Rn:D4AA11	Ce:Q6BER6
P10070	O60353	2736	8323	GLI2	FZD6	inferred by curator	22761861;14691458	Homo sapiens	TFactS_via_DoRothea	Yes	Mm:Q0VGT2;Rn:F1M2B7	Dr:B0S6T1	Mm:Q61089;Rn:G3V6L1	-
P04637	P78563	7157	104	TP53	ADARB1	chromatin immunoprecipitation assay;inferred by curator	29126285;15843459;27924024;26578589	Homo sapiens	GTRD;ORegAnno;ReMap	Yes	Mm:P02340	Dr:B0R0M3;Rn:M0R497	Dr:E9QJK5;Mm:Q91ZS8;Rn:A0A0G2JUX0	Ce:Q22618
P14859	Q99966	5451	4435	POU2F1	CITED1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Rn:F1LRD7	Mm:A0A0R4J1Z4	-	-
P05412	P60323	3725	342977	JUN	NANOS3	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;11382920;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Mm:P60324	Dr:Q90WW1;Rn:D4A138
P25490	P35659	7528	7913	YY1	DEK	chromatin immunoprecipitation assay;inferred by curator	12483538;29126285;20211142;27924024;29087512	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;ReMap;TRRUST	Yes	Mm:Q00899;Rn:Q8CHJ4	-	Dr:F1R6C4;Mm:Q7TNV0;Rn:Q6AXS3	-
Q14209	P41231	1870	5029	E2F2	P2RY2	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:E7FFJ8;Mm:P56931;Rn:M0RDX6	-	Dr:E7FEY4;Mm:A0A0R4J289	Rn:G3V8H8
Q04206	P05181	5970	1571	RELA	CYP2E1	chromatin immunoprecipitation assay;inferred by curator	27924024;29087512;29126285;19928584	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	Mm:Q05421;Rn:P05182	-
Q01094	Q4G0Z9	1869	157777	E2F1	MCMDC2	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:E9Q956;Rn:R9PXX4	-
P16220	P01210	1385	5179	CREB1	PENK	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Dr:A8E7S2;Mm:P22005	Rn:P04094
P04637	Q9HB75	7157	55367	TP53	PIDD1	chromatin immunoprecipitation assay;inferred by curator	29126285;18431400;31340985;26578589;18971253;27924024	Homo sapiens	DoRothEA;GTRD;ORegAnno;PAZAR;ReMap	Yes	Mm:P02340	Dr:B0R0M3;Rn:M0R497	Mm:Q9ERV7	Dr:E9QFQ1;Rn:D3ZZY5
Q01196	O00329	861	5293	RUNX1	PIK3CD	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;19638627;18971253;27924024;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRRUST	Yes	-	Mm:Q3UM65;Rn:A0A0G2JYQ4	Dr:F1RB17	Mm:Q3T9Y0;Rn:D4A5Q1
P19838	P10242	4790	4602	NFKB1	MYB	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dm:Q94527;Mm:P25799;Rn:F1LQH2	-	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7
Q01094	Q8N228	1869	256380	E2F1	SCML4	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:Q80VG1;Rn:A0A0G2K2K4	-
P19793	Q13393	6256	5337	RXRA	PLD1	chromatin immunoprecipitation assay;inferred by curator	29126285;24234451;17433303;27924024;29087512;22900683	Homo sapiens	GTRD;HTRI;IntAct_via_DoRothEA;ReMap;TRRUST	Yes	Dr:F1Q4V9;Mm:P28700;Rn:Q0VJ96	Dr:F1RDN3	Ce:G5EDU3;Rn:A0A0G2K5R0	Dr:B0V1J1;Mm:D6RH77
P20823	Q9NPD5	6927	28234	HNF1A	SLCO1B3	inferred by curator	29087512;16741617	Homo sapiens	TRRUST	Yes	-	-	-	-
P08651	Q02153	4782	2983	NFIC	GUCY1B1	inferred by curator	14504408;17202159;29087512	Homo sapiens	TRED;TRRUST	Yes	Mm:P70255;Rn:O70188	-	Dm:Q9VA09;Dr:F1QNR4;Mm:O54865;Rn:P20595	-
Q9UBC3	Q6FHJ7	1789	6424	DNMT3B	SFRP4	inferred by curator	24234451;22094255	Homo sapiens	IntAct_via_DoRothEA	Yes	Dr:Q588C6;Mm:O88509;Rn:Q1LZ51	-	Mm:Q9Z1N6;Rn:G3V8G7	-
Q16254	P55822	1874	6450	E2F4	SH3BGR	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Mm:Q9WUZ7	Rn:D3ZU20
P10070	Q12952	2736	2300	GLI2	FOXL1	inferred by curator	29087512;19360354	Homo sapiens	TRRUST	Yes	Mm:Q0VGT2;Rn:F1M2B7	Dr:B0S6T1	Mm:Q64731	Rn:M0R6E1
Q04206	Q8IWL1	5970	729238	RELA	SFTPA2	chromatin immunoprecipitation assay;inferred by curator	29126285;17202159	Homo sapiens	ReMap;TRED	Yes	Mm:Q04207;Rn:Q7TQN4	-	-	-
Q9NWT8	P35869	54998	196	AURKAIP1	AHR	inferred by curator	11469723;29087512	Homo sapiens	TRRUST	Yes	Mm:Q9DCJ7	-	-	-
O00170	P04155	9049	7031	AIP	TFF1	inferred by curator	21984905;29087512	Homo sapiens	TRRUST	Yes	-	-	Mm:Q08423	Rn:Q63467
P05412	P42898	3725	4524	JUN	MTHFR	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Ce:Q17693;Dr:B0V153;Rn:D4A7E8;Sc:P53128	Mm:A2A7F9
P10914	P24941	3659	1017	IRF1	CDK2	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;22200613;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:P15314;Rn:Q6DGG4	-	Dr:Q7ZWB1;Mm:P97377;Rn:Q6P751	-
P16220	P46663	1385	623	CREB1	BDKRB1	chromatin immunoprecipitation assay;inferred by curator	17202159;27924024;29087512;10842322	Homo sapiens	GTRD;TRED;TRRUST	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Mm:Q61125	Dr:A8E7T8;Rn:P97583
P22736	P05108	3164	1583	NR4A1	CYP11A1	chromatin immunoprecipitation assay;inferred by curator	20083153;29087512;27924024	Homo sapiens	GTRD;TRRUST	Yes	Mm:P12813;Rn:P22829	-	Mm:Q9QZ82;Rn:A0A0H2UHG1	Dr:F1R1K0;Dr:Q7SYJ6
P08151	O43312	2735	9788	GLI1	MTSS1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P47806;Rn:G3V6X8	-	Mm:G3X9H7;Rn:D3ZYM5	-
P18146	Q93096	1958	7803	EGR1	PTP4A1	chromatin immunoprecipitation assay;inferred by curator	9988683;26578589;22761861;18971253;27924024;17202159;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;TFactS_via_DoRothea;TRED;TRRUST	Yes	Dm:Q24266;Mm:P08046	Dr:P26632;Rn:A0A0H2UHR3	Mm:Q63739;Rn:Q78EG7	Dr:A0A140LFR6
Q01094	Q9UHI8	1869	9510	E2F1	ADAMTS1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:Q61501;Rn:O09139	-	Mm:P97857;Rn:Q68EJ2	-
P09629	Q92913	3217	2258	HOXB7	FGF13	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:Q8AWY9;Mm:P09024;Rn:P18864	-	Mm:P70377	Dr:Q5U3Q2;Rn:A0A0G2JZ77
Q14209	P58505	1870	54058	E2F2	C21orf58	inferred by curator	17202159	Homo sapiens	TRED	Yes	Dr:E7FFJ8;Mm:P56931;Rn:M0RDX6	-	Mm:G5E8K1;Rn:A1A5P8	Dr:I3ISM1
P17947	O00398	6688	27334	SPI1	P2RY10	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159;29087512;10567398	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Mm:P17433	Dr:Q6PHV7;Rn:Q6BDS1	-	Dr:A3KP26;Rn:B5DF87
P01100	P60568	2353	3558	FOS	IL2	chromatin immunoprecipitation assay;inferred by curator	29126285;20557936;24234451;27899662;17202159	Homo sapiens	IntAct_via_DoRothEA;KEGG_via_DoRothEA;ReMap;TRED	Yes	Dr:Q6P0S4;Mm:P01101;Rn:P12841	-	Mm:P04351	Rn:P17108
P06401	Q9Y4H2	5241	8660	PGR	IRS2	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;14534541	Homo sapiens	GTRD;TRRUST	Yes	Mm:Q00175	Rn:F7FA48	Dr:A0A0R4IKQ9;Mm:P81122;Rn:F1MAL5	-
Q13887	Q16665	688	3091	KLF5	HIF1A	chromatin immunoprecipitation assay;inferred by curator	23880760;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:E9QG09;Mm:Q9Z0Z7	Rn:F1LSL7	Dr:Q6EHI4;Mm:Q61221;Rn:D4A8P8	-
P01106	P04637	4609	7157	MYC	TP53	chromatin immunoprecipitation assay;inferred by curator	8494784;29126285;19086036;16107691;22761861;29087512;27924024;19411072;17202159;16980608;14519204	Homo sapiens	GTRD;ReMap;TFactS_via_DoRothea;TRED;TRRUST	Yes	Dr:F1RC36;Mm:P01108	-	Mm:P02340	Dr:B0R0M3;Rn:M0R497
Q96EB6	P62508	23411	2104	SIRT1	ESRRG	inferred by curator	29087512;19690166	Homo sapiens	TRRUST	Yes	Mm:Q923E4	Dr:E7F8W3;Rn:A0A182DWI7	Mm:P62509;Rn:P62510	-
P49715	Q9NSC5	1050	9454	CEBPA	HOMER3	chromatin immunoprecipitation assay;inferred by curator	26578589;14645007;18971253;27924024;17202159;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;TRED;TRRUST	Yes	Dr:Q8UVZ1;Mm:P53566;Rn:A0A0H2UI22	-	Mm:Q99JP6;Rn:Q9Z2X5	-
P08047	P30556	6667	185	SP1	AGTR1	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	22282354;15507319;27924024;11072083;17202159;29087512;11779634;22900683	Homo sapiens	GTRD;HTRI;TRED;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Dr:E7FEQ8;Dr:B0V116;Mm:P29754;Mm:P29755;Rn:P25095	Rn:P29089
O75030	Q9UBK2	4286	10891	MITF	PPARGC1A	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;23416000;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRRUST	Yes	Dr:F1Q885;Mm:Q08874;Rn:O88368	-	Mm:O70343;Rn:Q9QYK2	-
Q04206	P17275	5970	3726	RELA	JUNB	chromatin immunoprecipitation assay;inferred by curator	29087512;17018379;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	Dr:A8E7N0;Mm:P09450;Rn:A0A0G2JSY8	-
P52952	Q96B18	1482	147906	NKX2-5	DACT3	inferred by curator	29087512;19479054	Homo sapiens	TRRUST	Yes	Mm:P42582;Rn:G3V8T2	Dr:F1RCL3	Dr:F6NMJ1;Mm:Q0PHV7;Rn:M0R4J7	-
Q9UQ80	O95994	5036	10551	PA2G4	AGR2	inferred by curator	20048076;29087512	Homo sapiens	TRRUST	Yes	Ce:Q9N5B3;Dm:Q9VRP2;Dr:Q6PHD8;Dr:Q8AW82;Mm:P50580;Rn:Q6AYD3	-	Mm:O88312	Dr:Q5RZ65;Rn:D3ZIA7
P10070	P17612	2736	5566	GLI2	PRKACA	chromatin immunoprecipitation assay;inferred by curator	22761861;14691458;27924024	Homo sapiens	GTRD;TFactS_via_DoRothea	Yes	Mm:Q0VGT2;Rn:F1M2B7	Dr:B0S6T1	Dr:A3KMS9;Mm:P05132;Rn:A1L1M0	-
Q06710	P43699	7849	7080	PAX8	NKX2-1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:Q00288;Rn:P51974	Dr:F1Q9Q9	Dr:B3DH68;Mm:P50220;Rn:G3V740	-
P10242	P08575	4602	5788	MYB	PTPRC	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:F1QP24;Rn:A0A0G2K2A4	Mm:A0A087WPA7	Mm:P06800	Dm:Q9VAL5;Rn:P04157
Q16254	P09603	1874	1435	E2F4	CSF1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Mm:P07141	Rn:A0A0G2K4Q6
P47928	P38398	3400	672	ID4	BRCA1	inferred by curator	29087512;12032322;17016441	Homo sapiens	TRRUST	Yes	Mm:P41139;Rn:E9PU21	Dr:Q32PN8	Mm:P48754;Rn:G3V8S5	-
P51532	O76075	6597	1677	SMARCA4	DFFB	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;14559996;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q7ZSY3;Mm:Q3TKT4;Rn:G3V790	-	Dr:Q1L9C6;Mm:O54788;Rn:A0A0H2UHU4	-
Q01844	P06307	2130	885	EWSR1	CCK	inferred by curator	17438102;29087512	Homo sapiens	TRRUST	Yes	Dr:A0A0B4J1A5;Rn:A0A140UHY3	Mm:Q5SUS9	Mm:P09240;Rn:P01355	Dr:E9QEB3;Dr:A0A0R4IHW0
P19838	P19875	4790	2920	NFKB1	CXCL2	chromatin immunoprecipitation assay;inferred by curator	27899662;17363596;27924024;17202159;29087512	Homo sapiens	GTRD;KEGG_via_DoRothEA;TRED;TRRUST	Yes	Dm:Q94527;Mm:P25799;Rn:F1LQH2	-	-	-
P36956	Q92748	6720	7069	SREBF1	THRSP	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;22672904	Homo sapiens	ReMap;TRRUST	Yes	Mm:Q9WTN3;Rn:P56720	-	Mm:Q62264;Rn:Q5HZE3	Dr:B3DFQ0
P08047	P39060	6667	80781	SP1	COL18A1	chromatin immunoprecipitation assay;inferred by curator	11093745;29126285;27924024;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:P39061;Rn:F1LR02	Dr:B0S8G3
P01100	P00749	2353	5328	FOS	PLAU	chromatin immunoprecipitation assay;inferred by curator	29126285;11774399;26578589;18971253;27924024;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRRUST	Yes	Dr:Q6P0S4;Mm:P01101;Rn:P12841	-	-	-
P23769	Q53FA7	2624	9540	GATA2	TP53I3	chromatin immunoprecipitation assay;inferred by curator	26578589;22951020;19941826;27924024;22900683	Homo sapiens	GTRD;HTRI;ORegAnno	Yes	Mm:O09100;Rn:Q924Y4	Dr:Q7T3G1	-	Dr:A0A286YBD8
Q92466	P10415	1643	596	DDB2	BCL2	inferred by curator	20013802;29087512	Homo sapiens	TRRUST	Yes	Dr:Q2YDS1;Mm:Q99J79;Rn:D3ZR08	-	Dr:Q564A4;Mm:P10417;Rn:F1LNV0	Dr:F8W266
Q13950	P45452	860	4322	RUNX2	MMP13	chromatin immunoprecipitation assay;inferred by curator	29126285;15564063;16144844;19121369;22761861;27924024;29087512	Homo sapiens	GTRD;ReMap;TFactS_via_DoRothea;TRRUST	Yes	Rn:F1M9C5	Dr:F1R272	Dr:A0A0R4ICX2;Mm:P33435	Rn:G3V742
P08235	Q9Y6J0	4306	23523	NR3C2	CABIN1	inferred by curator	29087512;22345406	Homo sapiens	TRRUST	Yes	Mm:A3KN90	Rn:F1M6V2	-	-
P17535	Q03405	3727	5329	JUND	PLAUR	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	29126285;11234878;17510314;27924024;10471035;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Dr:B0V1Q6;Mm:P15066;Rn:P52909	-	Mm:P35456;Rn:M0R3P2	-
Q03014	Q92911	3087	6528	HHEX	SLC5A5	inferred by curator	16854221;29087512	Homo sapiens	TRRUST	Yes	Ce:Q9N4L2;Mm:P43120;Rn:F7F7Q9	-	Mm:G3X8P5;Rn:F1LR66;Sc:P33413	Dr:Q1LY42
P06748	Q99607	4869	2000	NPM1	ELF4	inferred by curator	23393136;29087512	Homo sapiens	TRRUST	Yes	Mm:Q61937;Rn:P13084	-	Mm:Q9Z2U4	Rn:D3ZWM8
P05412	P15498	3725	7409	JUN	VAV1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Mm:P27870;Rn:M0R4H8	-
P11308	P11309	2078	5292	ERG	PIM1	chromatin immunoprecipitation assay;inferred by curator	27924024;29087512;29126285;22140532	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:P81270	Dr:F1QK28;Rn:A0A0G2JWE9	Dr:Q08BC0;Rn:P26794	Mm:P06803
Q8TAP4	Q14469	55885	3280	LMO3	HES1	inferred by curator	29087512;21573214	Homo sapiens	TRRUST	Yes	Rn:M0R4L0	Dr:B0R1F3;Mm:E9PWI9	Dr:Q6PBX3;Mm:P35428;Rn:D4ADT9	-
Q02447	Q01860	6670	5460	SP3	POU5F1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:O70494;Rn:A0A0G2K5M1	Dr:B0R082	-	-
P03372	P15559	2099	1728	ESR1	NQO1	chromatin immunoprecipitation assay;inferred by curator	29126285;18971253;27924024;29087512;20623181	Homo sapiens	GTRD;PAZAR;ReMap;TRRUST	Yes	Mm:P19785	Rn:A0A0G2K0D4	Mm:Q64669;Rn:P05982	-
Q13315	Q14872	472	4520	ATM	MTF1	inferred by curator	29087512;12926986	Homo sapiens	TRRUST	Yes	Mm:Q62388;Rn:D4ACL8	Dr:R4GE34	Mm:Q07243;Rn:D3ZBT4	Dr:E7F5B0
P05412	Q15078	3725	8851	JUN	CDK5R1	chromatin immunoprecipitation assay;inferred by curator	22550165;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q6NZT5;Mm:P05627;Rn:P17325	-	Dr:F1Q6W4;Mm:P61809;Rn:P61810	-
Q13485	P03372	4089	2099	SMAD4	ESR1	inferred by curator	17202159	Homo sapiens	TRED	Yes	Mm:P97471;Rn:A0A0G2K970	Dm:Q8IMG6	Mm:P19785	Rn:A0A0G2K0D4
P01100	P98066	2353	7130	FOS	TNFAIP6	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;18971253;27924024;17202159	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TRED	Yes	Dr:Q6P0S4;Mm:P01101;Rn:P12841	-	Dr:B0UY56;Mm:O08859	Rn:M0R4G8
Q12778	P40424	2308	5087	FOXO1	PBX1	chromatin immunoprecipitation assay;inferred by curator	29087512;21401636;27924024	Homo sapiens	GTRD;TRRUST	Yes	Dr:A3RK74;Mm:Q9R1E0;Rn:G3V7R4	-	Dr:F1QSY5;Mm:P41778	Dr:Q9I9B6;Rn:D3ZJI6
P22415	P30613	7391	5313	USF1	PKLR	inferred by curator	12177166;7852331;22761861;17202159;29087512	Homo sapiens	TFactS_via_DoRothea;TRED;TRRUST	Yes	Dr:F1QUA1;Mm:Q61069;Rn:O35410	-	Rn:P12928	Mm:E9Q509
P37231	P19634	5468	6548	PPARG	SLC9A1	chromatin immunoprecipitation assay;inferred by curator	19887620;29087512;27924024	Homo sapiens	GTRD;TRRUST	Yes	-	-	Ce:O16452;Ce:G5EDH8	-
Q9H160	P10415	3622	596	ING2	BCL2	inferred by curator	29087512;15748897	Homo sapiens	TRRUST	Yes	Dr:Q6DHF1;Mm:Q9ESK4;Rn:B5DEF8	-	Dr:Q564A4;Mm:P10417;Rn:F1LNV0	Dr:F8W266
Q9HCK8	P01106	57680	4609	CHD8	MYC	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;16949368	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:Q09XV5;Rn:Q9JIX5	Dr:F1QW70	Dr:F1RC36;Mm:P01108	-
P05549	P21728	7020	1812	TFAP2A	DRD1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	-	-	Mm:Q61616	Dr:E7F359;Rn:G3V933
P05549	P49767	7020	7424	TFAP2A	VEGFC	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	-	-	Dr:Q7T3I6;Mm:P97953;Rn:O35757	-
P08047	P42773	6667	1031	SP1	CDKN2C	chromatin immunoprecipitation assay;inferred by curator	29126285;12077144;20211142;22761861;27924024	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;ReMap;TFactS_via_DoRothea	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:Q60772	Dr:B0UXZ0;Rn:Q8R5G4
P18146	P08700	1958	3562	EGR1	IL3	inferred by curator	8035792;29087512;18971253;26578589	Homo sapiens	ORegAnno;PAZAR;TRRUST	Yes	Dm:Q24266;Mm:P08046	Dr:P26632;Rn:A0A0H2UHR3	-	-
Q15853	P38398	7392	672	USF2	BRCA1	chromatin immunoprecipitation assay;inferred by curator	29126285;14502648;27924024;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Dr:Q1L959;Mm:Q64705;Rn:A0A0G2K3J3	-	Mm:P48754;Rn:G3V8S5	-
